filename,SAT,TIME (s),STATUS
10_05_005_100_25_1.GSP,184,6.73,FINISHED
10_05_005_100_50_1.GSP,213,0.45,FINISHED
10_05_005_100_75_1.GSP,263,0.44,FINISHED
10_05_005_125_25_1.GSP,172,3.93,FINISHED
10_05_005_125_50_1.GSP,-,0.07,UNSAT
10_05_005_125_75_1.GSP,-,0.09,UNSAT
10_05_025_100_25_1.GSP,67,0.87,FINISHED
10_05_025_100_50_1.GSP,-,0.1,UNSAT
10_05_025_100_75_1.GSP,248,0.25,FINISHED
10_05_025_125_25_1.GSP,96,2.11,FINISHED
10_05_025_125_50_1.GSP,214,1.81,FINISHED
10_05_025_125_75_1.GSP,130,0.53,FINISHED
10_05_050_100_25_1.GSP,124,2.14,FINISHED
10_05_050_100_50_1.GSP,66,1.68,FINISHED
10_05_050_100_75_1.GSP,245,1.05,FINISHED
10_05_050_125_25_1.GSP,13,4.0,FINISHED
10_05_050_125_50_1.GSP,145,4.52,FINISHED
10_05_050_125_75_1.GSP,229,0.88,FINISHED
10_10_005_100_25_1.GSP,-,0.17,UNSAT
10_10_005_100_50_1.GSP,281,1.11,FINISHED
10_10_005_100_75_1.GSP,184,0.82,FINISHED
10_10_005_125_25_1.GSP,148,0.41,FINISHED
10_10_005_125_50_1.GSP,184,0.54,FINISHED
10_10_005_125_75_1.GSP,256,0.19,FINISHED
10_10_025_100_25_1.GSP,58,2.44,FINISHED
10_10_025_100_50_1.GSP,136,3.07,FINISHED
10_10_025_100_75_1.GSP,210,0.36,FINISHED
10_10_025_125_25_1.GSP,76,1.9,FINISHED
10_10_025_125_50_1.GSP,53,2.23,FINISHED
10_10_025_125_75_1.GSP,241,1.27,FINISHED
20_05_005_100_25_1.GSP,411,41.02,FINISHED
20_05_005_100_50_1.GSP,372,17.68,FINISHED
20_05_005_100_75_1.GSP,512,9.48,FINISHED
20_05_005_125_25_1.GSP,540,41.31,FINISHED
20_05_005_125_50_1.GSP,578,16.17,FINISHED
20_05_005_125_75_1.GSP,560,3.91,FINISHED
20_05_025_100_25_1.GSP,410,142.07,FINISHED
20_05_025_100_50_1.GSP,447,33.54,FINISHED
20_05_025_100_75_1.GSP,610,68.7,FINISHED
20_05_025_125_25_1.GSP,335,300.01,TIMEOUT
20_05_025_125_50_1.GSP,417,300.0,TIMEOUT
20_05_025_125_75_1.GSP,466,36.33,FINISHED
20_05_050_100_25_1.GSP,318,43.11,FINISHED
20_05_050_100_50_1.GSP,406,49.38,FINISHED
20_05_050_100_75_1.GSP,803,27.17,FINISHED
20_05_050_125_25_1.GSP,425,300.01,TIMEOUT
20_05_050_125_50_1.GSP,592,94.68,FINISHED
20_05_050_125_75_1.GSP,562,28.88,FINISHED
20_10_005_100_25_1.GSP,356,8.09,FINISHED
20_10_005_100_50_1.GSP,379,7.26,FINISHED
20_10_005_100_75_1.GSP,485,3.76,FINISHED
20_10_005_125_25_1.GSP,102,15.51,FINISHED
20_10_005_125_50_1.GSP,289,7.99,FINISHED
20_10_005_125_75_1.GSP,378,7.15,FINISHED
20_10_025_100_25_1.GSP,67,9.85,FINISHED
20_10_025_100_50_1.GSP,151,7.14,FINISHED
20_10_025_100_75_1.GSP,361,3.29,FINISHED
20_10_025_125_25_1.GSP,688,14.91,FINISHED
20_10_025_125_50_1.GSP,277,10.54,FINISHED
20_10_025_125_75_1.GSP,551,3.48,FINISHED
20_10_050_100_25_1.GSP,29,10.53,FINISHED
20_10_050_100_50_1.GSP,237,5.76,FINISHED
20_10_050_100_75_1.GSP,125,4.72,FINISHED
20_10_050_125_25_1.GSP,362,6.35,FINISHED
20_10_050_125_50_1.GSP,379,4.57,FINISHED
20_10_050_125_75_1.GSP,311,5.51,FINISHED
30_05_005_100_25_1.GSP,811,300.02,TIMEOUT
30_05_005_100_50_1.GSP,729,300.03,TIMEOUT
30_05_005_100_75_1.GSP,1032,300.01,TIMEOUT
30_05_005_125_25_1.GSP,778,300.01,TIMEOUT
30_05_005_125_50_1.GSP,968,300.01,TIMEOUT
30_05_005_125_75_1.GSP,1001,193.62,FINISHED
30_05_025_100_25_1.GSP,610,300.01,TIMEOUT
30_05_025_100_50_1.GSP,721,300.01,TIMEOUT
30_05_025_100_75_1.GSP,920,300.0,TIMEOUT
30_05_025_125_25_1.GSP,740,300.01,TIMEOUT
30_05_025_125_50_1.GSP,806,300.02,TIMEOUT
30_05_025_125_75_1.GSP,1001,300.02,TIMEOUT
30_05_050_100_25_1.GSP,206,241.88,FINISHED
30_05_050_100_50_1.GSP,478,161.65,FINISHED
30_05_050_100_75_1.GSP,761,300.01,TIMEOUT
30_05_050_125_25_1.GSP,588,300.03,TIMEOUT
30_05_050_125_50_1.GSP,739,300.02,TIMEOUT
30_05_050_125_75_1.GSP,698,300.0,TIMEOUT
30_10_005_100_25_1.GSP,239,31.89,FINISHED
30_10_005_100_50_1.GSP,1208,51.05,FINISHED
30_10_005_100_75_1.GSP,635,23.7,FINISHED
30_10_005_125_25_1.GSP,343,183.29,FINISHED
30_10_005_125_50_1.GSP,918,52.18,FINISHED
30_10_005_125_75_1.GSP,1092,22.06,FINISHED
30_10_025_100_25_1.GSP,856,17.94,FINISHED
30_10_025_100_50_1.GSP,472,46.55,FINISHED
30_10_025_100_75_1.GSP,509,56.54,FINISHED
30_10_025_125_25_1.GSP,354,75.08,FINISHED
30_10_025_125_50_1.GSP,104,59.15,FINISHED
30_10_025_125_75_1.GSP,1249,36.03,FINISHED
30_10_050_100_25_1.GSP,699,101.21,FINISHED
30_10_050_100_50_1.GSP,540,300.02,TIMEOUT
30_10_050_100_75_1.GSP,640,51.48,FINISHED
30_10_050_125_25_1.GSP,801,99.78,FINISHED
30_10_050_125_50_1.GSP,224,99.6,FINISHED
30_10_050_125_75_1.GSP,761,300.02,TIMEOUT
40_05_005_100_25_1.GSP,1460,300.02,TIMEOUT
40_05_005_100_50_1.GSP,1046,300.03,TIMEOUT
40_05_005_100_75_1.GSP,1259,300.01,TIMEOUT
40_05_005_125_25_1.GSP,1002,300.02,TIMEOUT
40_05_005_125_50_1.GSP,857,300.02,TIMEOUT
40_05_005_125_75_1.GSP,1666,300.0,TIMEOUT
40_05_025_100_25_1.GSP,888,300.01,TIMEOUT
40_05_025_100_50_1.GSP,-,300.02,ERROR
40_05_025_100_75_1.GSP,794,300.02,TIMEOUT
40_05_025_125_25_1.GSP,2421,300.02,TIMEOUT
40_05_025_125_50_1.GSP,1256,300.02,TIMEOUT
40_05_025_125_75_1.GSP,-,300.03,ERROR
40_05_050_100_25_1.GSP,508,300.01,TIMEOUT
40_05_050_100_50_1.GSP,1344,300.02,TIMEOUT
40_05_050_100_75_1.GSP,613,300.02,TIMEOUT
40_05_050_125_25_1.GSP,803,300.02,TIMEOUT
40_05_050_125_50_1.GSP,671,295.9,FINISHED
40_05_050_125_75_1.GSP,1176,300.04,TIMEOUT
40_10_005_100_25_1.GSP,610,77.21,FINISHED
40_10_005_100_50_1.GSP,905,300.02,TIMEOUT
40_10_005_100_75_1.GSP,1141,14.44,FINISHED
40_10_005_125_25_1.GSP,673,300.01,TIMEOUT
40_10_005_125_50_1.GSP,658,110.01,FINISHED
40_10_005_125_75_1.GSP,950,52.54,FINISHED
40_10_025_100_25_1.GSP,236,68.33,FINISHED
40_10_025_100_50_1.GSP,136,300.02,TIMEOUT
40_10_025_100_75_1.GSP,901,300.04,TIMEOUT
40_10_025_125_25_1.GSP,444,242.28,FINISHED
40_10_025_125_50_1.GSP,1121,111.78,FINISHED
40_10_025_125_75_1.GSP,792,82.1,FINISHED
40_10_050_100_25_1.GSP,-,300.02,ERROR
40_10_050_100_50_1.GSP,900,147.88,FINISHED
40_10_050_100_75_1.GSP,0,86.64,FINISHED
40_10_050_125_25_1.GSP,-,300.03,ERROR
40_10_050_125_50_1.GSP,2602,300.04,TIMEOUT
40_10_050_125_75_1.GSP,920,166.22,FINISHED
50_05_005_100_25_1.GSP,1859,300.02,TIMEOUT
50_05_005_100_50_1.GSP,1503,300.03,TIMEOUT
50_05_005_100_75_1.GSP,2289,300.02,TIMEOUT
50_05_005_125_25_1.GSP,1287,300.03,TIMEOUT
50_05_005_125_50_1.GSP,1859,300.02,TIMEOUT
50_05_005_125_75_1.GSP,2588,300.03,TIMEOUT
50_05_025_100_25_1.GSP,1379,300.03,TIMEOUT
50_05_025_100_50_1.GSP,-,300.07,ERROR
50_05_025_100_75_1.GSP,-,300.01,ERROR
50_05_025_125_25_1.GSP,-,300.03,ERROR
50_05_025_125_50_1.GSP,-,300.1,ERROR
50_05_025_125_75_1.GSP,1364,300.08,TIMEOUT
50_05_050_100_25_1.GSP,-,300.02,ERROR
50_05_050_100_50_1.GSP,2849,300.07,TIMEOUT
50_05_050_100_75_1.GSP,1262,300.15,TIMEOUT
50_05_050_125_25_1.GSP,-,300.04,ERROR
50_05_050_125_50_1.GSP,-,300.04,ERROR
50_05_050_125_75_1.GSP,1375,300.05,TIMEOUT
50_10_005_100_25_1.GSP,397,300.02,TIMEOUT
50_10_005_100_50_1.GSP,802,169.02,FINISHED
50_10_005_100_75_1.GSP,1726,300.02,TIMEOUT
50_10_005_125_25_1.GSP,2864,300.02,TIMEOUT
50_10_005_125_50_1.GSP,534,162.82,FINISHED
50_10_005_125_75_1.GSP,2268,212.72,FINISHED
50_10_025_100_25_1.GSP,1471,194.39,FINISHED
50_10_025_100_50_1.GSP,928,195.44,FINISHED
50_10_025_100_75_1.GSP,492,86.48,FINISHED
50_10_025_125_25_1.GSP,-,300.02,ERROR
50_10_025_125_50_1.GSP,0,247.25,FINISHED
50_10_025_125_75_1.GSP,1003,284.21,FINISHED
50_10_050_100_25_1.GSP,204,292.77,FINISHED
50_10_050_100_50_1.GSP,696,214.22,FINISHED
50_10_050_100_75_1.GSP,1905,300.03,TIMEOUT
50_10_050_125_25_1.GSP,-,300.06,ERROR
50_10_050_125_50_1.GSP,-,300.07,ERROR
50_10_050_125_75_1.GSP,801,240.25,FINISHED
